224.924,4382,2664,1
172.864,4618,4340,1
104.401,4076,312,1
281.319,4234,1755,1
156.493,4078,2035,1
274.744,4250,29106,1
224.286,4310,12771,1
248.042,4225,16121,1
254.094,4253,18270,1
172.018,4019,2460,1
101.495,4048,317,1
171.882,4142,1638,1
189.716,4136,8897,1
170.47,4171,1624,1
191.248,4176,1840,1
204.405,4198,21892,1
130.52,4070,5510,1
279.588,4374,18720,1
245.255,4139,15624,1
275.321,4255,29106,1
171.427,4285,2652,1
172.968,4114,1592,1
236.197,4370,17649,1
141.282,4134,12138,1
131.812,4039,3258,1
171.685,4167,2568,1
162.818,4145,2509,1
204.239,4373,18409,1
240.003,4198,18550,1
171.609,4192,1632,1
