sample_index,power_w,iteration_id
0,187.839,-1
1,187.839,-1
2,116.142,-1
3,116.142,-1
4,116.142,-1
5,116.142,-1
6,116.142,-1
7,116.142,-1
8,116.142,-1
9,116.142,-1
10,116.142,-1
11,116.142,-1
12,116.142,-1
13,116.142,-1
14,116.142,-1
15,116.142,-1
16,116.142,-1
17,116.142,-1
18,106.226,-1
19,106.226,-1
20,106.226,-1
21,106.226,-1
22,106.226,-1
23,106.226,-1
24,106.226,-1
25,106.226,-1
26,106.226,-1
27,106.226,-1
28,106.226,-1
29,106.226,-1
30,106.226,-1
31,106.226,-1
32,106.226,-1
33,106.226,-1
34,106.226,-1
35,134.405,-1
36,134.405,-1
37,134.405,-1
38,134.405,-1
39,134.405,-1
40,134.405,-1
41,134.405,-1
42,134.405,-1
43,134.405,-1
44,134.405,-1
45,134.405,-1
46,134.405,-1
47,134.405,-1
48,134.405,-1
49,134.405,-1
50,134.405,-1
51,140.687,-1
52,140.687,-1
53,140.687,-1
54,140.687,-1
55,140.687,-1
56,140.687,-1
57,140.687,-1
58,140.687,-1
59,140.687,-1
60,140.687,-1
61,140.687,-1
62,140.687,-1
63,140.687,-1
64,140.687,-1
65,140.687,-1
66,140.687,-1
67,140.687,-1
68,140.776,-1
69,140.776,-1
70,140.776,-1
71,140.776,-1
72,140.776,-1
73,140.776,-1
74,140.776,-1
75,140.776,-1
76,140.776,-1
77,140.776,-1
78,140.776,-1
79,140.776,-1
80,140.776,-1
81,140.776,-1
82,140.776,-1
83,140.776,-1
84,140.776,-1
85,140.713,-1
86,140.713,-1
87,140.713,-1
88,140.713,-1
89,140.713,-1
90,140.713,-1
91,140.713,-1
92,140.713,-1
93,140.713,-1
94,140.713,-1
95,140.713,-1
96,140.713,-1
97,140.713,-1
98,140.713,-1
99,140.713,-1
100,140.713,-1
101,140.755,-1
102,140.755,-1
103,140.755,-1
104,140.755,-1
105,140.755,-1
106,140.755,-1
107,140.755,-1
108,140.755,-1
109,140.755,-1
110,140.755,-1
111,140.755,-1
112,140.755,-1
113,140.755,-1
114,140.755,-1
115,140.755,-1
116,140.755,-1
117,140.755,-1
118,141.02,-1
119,141.02,-1
120,141.02,-1
121,141.02,-1
122,141.02,-1
123,141.02,-1
124,141.02,-1
125,141.02,-1
126,141.02,-1
127,141.02,-1
128,141.02,-1
129,141.02,-1
130,141.02,-1
131,141.02,-1
132,141.02,-1
133,141.02,-1
134,141.282,-1
135,141.282,-1
136,141.282,-1
137,141.282,-1
138,141.282,0
139,141.282,0
140,141.282,0
141,141.282,0
142,141.282,0
143,141.282,0
144,141.282,0
145,141.282,0
146,141.282,0
147,141.282,0
148,141.282,0
149,141.282,0
150,141.282,0
151,141.163,0
152,141.163,0
153,141.163,1
154,141.163,1
155,141.163,1
156,141.163,1
157,141.163,1
158,141.163,1
159,141.163,1
160,141.163,1
161,141.163,1
162,141.163,1
163,141.163,1
164,141.163,1
165,141.163,1
166,141.163,1
167,141.163,1
168,141.004,1
169,141.004,2
170,141.004,2
171,141.004,2
172,141.004,2
173,141.004,2
174,141.004,2
175,141.004,2
176,141.004,2
177,141.004,2
178,141.004,2
179,141.004,2
180,141.004,2
181,141.004,2
182,141.004,2
183,141.004,2
184,140.745,2
