sample_index,power_w,iteration_id
0,89.25,-1
1,89.25,-1
2,89.25,-1
3,89.25,-1
4,89.25,-1
5,93.704,-1
6,93.704,-1
7,93.704,-1
8,93.704,-1
9,93.704,-1
10,93.704,-1
11,93.704,-1
12,93.704,-1
13,93.704,-1
14,93.704,-1
15,93.704,-1
16,93.704,-1
17,93.704,-1
18,93.704,-1
19,93.704,-1
20,93.704,-1
21,93.704,-1
22,140.403,-1
23,140.403,-1
24,140.403,-1
25,140.403,-1
26,140.403,-1
27,140.403,-1
28,140.403,-1
29,140.403,-1
30,140.403,-1
31,140.403,-1
32,140.403,-1
33,140.403,-1
34,140.403,-1
35,140.403,-1
36,140.403,-1
37,140.403,-1
38,140.403,-1
39,185.838,-1
40,185.838,-1
41,185.838,-1
42,185.838,-1
43,185.838,-1
44,185.838,-1
45,185.838,-1
46,185.838,-1
47,185.838,-1
48,185.838,-1
49,185.838,-1
50,185.838,-1
51,185.838,-1
52,185.838,-1
53,185.838,-1
54,185.838,-1
55,186.234,-1
56,186.234,-1
57,186.234,-1
58,186.234,-1
59,186.234,-1
60,186.234,-1
61,186.234,-1
62,186.234,-1
63,186.234,-1
64,186.234,-1
65,186.234,-1
66,186.234,-1
67,186.234,-1
68,186.234,-1
69,186.234,-1
70,186.234,-1
71,186.234,0
72,186.333,0
73,186.333,0
74,186.333,0
75,186.333,0
76,186.333,0
77,186.333,0
78,186.333,0
79,186.333,0
80,186.333,0
81,186.333,0
82,186.333,0
83,186.333,0
84,186.333,0
85,186.333,0
86,186.333,0
87,186.333,0
88,186.293,1
89,186.293,1
90,186.293,1
91,186.293,1
92,186.293,1
93,186.293,1
94,186.293,1
95,186.293,1
96,186.293,1
97,186.293,1
98,186.293,1
99,186.293,1
100,186.293,1
101,186.293,1
102,186.293,1
103,186.293,1
104,186.293,1
105,186.305,1
106,186.305,2
107,186.305,2
108,186.305,2
109,186.305,2
110,186.305,2
111,186.305,2
112,186.305,2
113,186.305,2
114,186.305,2
115,186.305,2
116,186.305,2
117,186.305,2
118,186.305,2
119,186.305,2
120,186.305,2
121,186.305,2
122,186.406,2
