sample_index,power_w,iteration_id
0,26.154,-1
1,26.154,-1
2,26.154,-1
3,26.154,-1
4,26.154,-1
5,26.154,-1
6,26.154,-1
7,36.356,-1
8,36.356,-1
9,36.356,-1
10,36.356,-1
11,36.356,-1
12,36.356,-1
13,36.356,-1
14,36.356,-1
15,36.356,-1
16,36.356,-1
17,36.356,-1
18,36.356,-1
19,36.356,-1
20,36.356,-1
21,36.356,-1
22,36.356,-1
23,59.881,-1
24,59.881,-1
25,59.881,-1
26,59.881,-1
27,59.881,-1
28,59.881,-1
29,59.881,-1
30,59.881,-1
31,59.881,-1
32,59.881,-1
33,59.881,-1
34,59.881,-1
35,59.881,-1
36,59.881,-1
37,59.881,-1
38,59.881,-1
39,59.881,-1
40,129.83,-1
41,129.83,-1
42,129.83,-1
43,129.83,-1
44,129.83,-1
45,129.83,-1
46,129.83,-1
47,129.83,-1
48,129.83,-1
49,129.83,-1
50,129.83,-1
51,129.83,-1
52,129.83,-1
53,129.83,-1
54,129.83,-1
55,129.83,-1
56,133.462,-1
57,133.462,-1
58,133.462,-1
59,133.462,-1
60,133.462,-1
61,133.462,-1
62,133.462,-1
63,133.462,-1
64,133.462,-1
65,133.462,-1
66,133.462,-1
67,133.462,-1
68,133.462,-1
69,133.462,-1
70,133.462,-1
71,133.462,-1
72,133.462,-1
73,133.559,-1
74,133.559,-1
75,133.559,-1
76,133.559,-1
77,133.559,-1
78,133.559,-1
79,133.559,-1
80,133.559,-1
81,133.559,0
82,133.559,0
83,133.559,0
84,133.559,0
85,133.559,0
86,133.559,0
87,133.559,0
88,133.559,0
89,133.559,0
90,133.755,0
91,133.755,0
92,133.755,0
93,133.755,0
94,133.755,1
95,133.755,1
96,133.755,1
97,133.755,1
98,133.755,1
99,133.755,1
100,133.755,1
101,133.755,1
102,133.755,1
103,133.755,1
104,133.755,1
105,133.755,1
106,133.943,1
107,133.943,2
108,133.943,2
109,133.943,2
110,133.943,2
111,133.943,2
112,133.943,2
113,133.943,2
114,133.943,2
115,133.943,2
116,133.943,2
117,133.943,2
118,133.943,2
119,133.943,2
