sample_index,power_w,iteration_id
0,85.27,-1
1,85.27,-1
2,85.27,-1
3,85.27,-1
4,85.27,-1
5,85.27,-1
6,85.27,-1
7,85.27,-1
8,85.27,-1
9,85.27,-1
10,81.722,-1
11,81.722,-1
12,81.722,-1
13,81.722,-1
14,81.722,-1
15,81.722,-1
16,81.722,-1
17,81.722,-1
18,81.722,-1
19,81.722,-1
20,81.722,-1
21,81.722,-1
22,81.722,-1
23,81.722,-1
24,81.722,-1
25,81.722,-1
26,81.722,-1
27,93.507,-1
28,93.507,-1
29,93.507,-1
30,93.507,-1
31,93.507,-1
32,93.507,-1
33,93.507,-1
34,93.507,-1
35,93.507,-1
36,93.507,-1
37,93.507,-1
38,93.507,-1
39,93.507,-1
40,93.507,-1
41,93.507,-1
42,93.507,-1
43,93.507,-1
44,118.046,-1
45,118.046,-1
46,118.046,-1
47,118.046,-1
48,118.046,-1
49,118.046,-1
50,118.046,-1
51,118.046,-1
52,118.046,-1
53,118.046,-1
54,118.046,-1
55,118.046,-1
56,118.046,-1
57,118.046,-1
58,118.046,-1
59,118.046,-1
60,119.767,-1
61,119.767,-1
62,119.767,-1
63,119.767,-1
64,119.767,-1
65,119.767,-1
66,119.767,-1
67,119.767,-1
68,119.767,-1
69,119.767,-1
70,119.767,-1
71,119.767,-1
72,119.767,-1
73,119.767,-1
74,119.767,-1
75,119.767,-1
76,119.767,-1
77,119.833,-1
78,119.833,-1
79,119.833,-1
80,119.833,-1
81,119.833,-1
82,119.833,-1
83,119.833,-1
84,119.833,0
85,119.833,0
86,119.833,0
87,119.833,0
88,119.833,0
89,119.833,0
90,119.833,0
91,119.833,0
92,119.833,0
93,119.811,0
94,119.811,0
95,119.811,0
96,119.811,0
97,119.811,0
98,119.811,0
99,119.811,0
100,119.811,0
101,119.811,0
102,119.811,0
103,119.811,1
104,119.811,1
105,119.811,1
106,119.811,1
107,119.811,1
108,119.811,1
109,119.811,1
110,119.781,1
111,119.781,1
112,119.781,1
113,119.781,1
114,119.781,1
115,119.781,1
116,119.781,1
117,119.781,1
118,119.781,1
119,119.781,1
120,119.781,1
121,119.781,1
122,119.781,2
123,119.781,2
124,119.781,2
125,119.781,2
126,119.781,2
127,119.8,2
128,119.8,2
129,119.8,2
130,119.8,2
131,119.8,2
132,119.8,2
133,119.8,2
134,119.8,2
135,119.8,2
136,119.8,2
137,119.8,2
138,119.8,2
139,119.8,2
140,119.8,2
