sample_index,power_w,iteration_id
0,95.197,-1
1,95.197,-1
2,95.197,-1
3,95.197,-1
4,95.197,-1
5,95.197,-1
6,95.197,-1
7,95.197,-1
8,95.197,-1
9,95.197,-1
10,95.197,-1
11,95.197,-1
12,95.197,-1
13,95.197,-1
14,95.197,-1
15,95.197,-1
16,95.197,-1
17,112.456,-1
18,112.456,-1
19,112.456,-1
20,112.456,-1
21,112.456,-1
22,112.456,-1
23,112.456,-1
24,112.456,-1
25,112.456,-1
26,112.456,-1
27,112.456,-1
28,112.456,-1
29,112.456,-1
30,112.456,-1
31,112.456,-1
32,112.456,-1
33,150.186,-1
34,150.186,-1
35,150.186,-1
36,150.186,-1
37,150.186,-1
38,150.186,-1
39,150.186,-1
40,150.186,-1
41,150.186,-1
42,150.186,-1
43,150.186,-1
44,150.186,-1
45,150.186,-1
46,150.186,-1
47,150.186,-1
48,150.186,-1
49,150.186,-1
50,159.979,-1
51,159.979,-1
52,159.979,-1
53,159.979,-1
54,159.979,-1
55,159.979,-1
56,159.979,-1
57,159.979,-1
58,159.979,-1
59,159.979,-1
60,159.979,-1
61,159.979,-1
62,159.979,-1
63,159.979,-1
64,159.979,-1
65,159.979,-1
66,160.036,-1
67,160.036,-1
68,160.036,-1
69,160.036,-1
70,160.036,-1
71,160.036,-1
72,160.036,-1
73,160.036,-1
74,160.036,0
75,160.036,0
76,160.036,0
77,160.036,0
78,160.036,0
79,160.036,0
80,160.036,0
81,160.036,0
82,160.036,0
83,160.313,0
84,160.313,0
85,160.313,0
86,160.313,0
87,160.313,0
88,160.313,0
89,160.313,0
90,160.313,0
91,160.313,1
92,160.313,1
93,160.313,1
94,160.313,1
95,160.313,1
96,160.313,1
97,160.313,1
98,160.313,1
99,160.313,1
100,160.347,1
101,160.347,1
102,160.347,1
103,160.347,1
104,160.347,1
105,160.347,1
106,160.347,1
107,160.347,1
108,160.347,2
109,160.347,2
110,160.347,2
111,160.347,2
112,160.347,2
113,160.347,2
114,160.347,2
115,160.347,2
116,160.374,2
117,160.374,2
118,160.374,2
119,160.374,2
120,160.374,2
121,160.374,2
122,160.374,2
123,160.374,2
124,160.374,2
