sample_index,power_w,iteration_id
0,80.556,-1
1,80.556,-1
2,80.556,-1
3,80.556,-1
4,80.556,-1
5,80.556,-1
6,80.556,-1
7,80.556,-1
8,80.556,-1
9,80.556,-1
10,80.556,-1
11,80.556,-1
12,80.556,-1
13,80.556,-1
14,80.556,-1
15,80.556,-1
16,80.556,-1
17,80.556,-1
18,80.556,-1
19,80.556,-1
20,80.556,-1
21,80.556,-1
22,80.556,-1
23,80.556,-1
24,80.556,-1
25,80.556,-1
26,80.556,-1
27,80.556,-1
28,80.556,-1
29,80.556,-1
30,80.556,-1
31,80.556,-1
32,80.556,-1
33,80.556,-1
34,80.556,-1
35,80.556,-1
36,80.556,-1
37,80.556,-1
38,80.556,-1
39,80.556,-1
40,80.556,-1
41,80.556,-1
42,80.556,-1
43,80.556,-1
44,80.556,-1
45,68.912,-1
46,68.912,-1
47,68.912,-1
48,68.912,-1
49,68.912,-1
50,68.912,-1
51,68.912,-1
52,68.912,-1
53,68.912,-1
54,68.912,-1
55,68.912,-1
56,68.912,-1
57,68.912,-1
58,68.912,-1
59,68.912,-1
60,68.912,-1
61,68.912,-1
62,68.912,-1
63,68.912,-1
64,68.912,-1
65,68.912,-1
66,68.912,-1
67,68.912,-1
68,68.912,-1
69,68.912,-1
70,68.912,-1
71,68.912,-1
72,68.912,-1
73,68.912,-1
74,68.912,-1
75,68.912,-1
76,68.912,-1
77,68.912,-1
78,68.912,-1
79,68.912,-1
80,68.912,-1
81,68.912,-1
82,68.912,-1
83,68.912,-1
84,68.912,-1
85,68.912,-1
86,68.912,-1
87,68.912,-1
88,68.912,-1
89,68.912,-1
90,68.912,-1
91,68.912,-1
92,68.912,-1
93,68.912,-1
94,68.912,-1
95,68.912,-1
96,68.912,-1
97,68.912,-1
98,68.912,-1
99,68.912,-1
100,68.912,-1
101,68.912,-1
102,68.912,-1
103,68.912,-1
104,68.912,-1
105,68.912,-1
106,68.912,-1
107,68.912,-1
108,68.912,-1
109,68.912,-1
110,68.912,-1
111,68.912,-1
112,68.912,-1
113,68.912,-1
114,68.912,-1
115,68.912,-1
116,68.912,-1
117,68.912,-1
118,68.912,-1
119,68.912,-1
120,68.912,-1
121,68.912,-1
122,68.912,-1
123,68.912,-1
124,68.912,-1
125,68.912,-1
126,68.912,-1
127,68.912,-1
128,68.912,-1
129,68.912,-1
130,68.912,-1
131,68.912,-1
132,68.912,-1
133,68.912,-1
134,68.912,-1
135,68.912,-1
136,68.912,-1
137,68.912,-1
138,68.912,-1
139,68.912,-1
140,68.912,-1
141,68.912,-1
142,68.912,-1
143,86.163,-1
144,86.163,-1
145,86.163,-1
146,86.163,-1
147,86.163,-1
148,86.163,-1
149,86.163,-1
150,86.163,-1
151,86.163,-1
152,86.163,-1
153,86.163,-1
154,86.163,-1
155,86.163,-1
156,86.163,-1
157,86.163,-1
158,86.163,-1
159,86.163,-1
160,86.163,-1
161,86.163,-1
162,86.163,-1
163,86.163,-1
164,86.163,-1
165,86.163,-1
166,86.163,-1
167,86.163,-1
168,86.163,-1
169,86.163,-1
170,86.163,-1
171,86.163,-1
172,86.163,-1
173,86.163,-1
174,86.163,-1
175,86.163,-1
176,86.163,-1
177,86.163,-1
178,86.163,-1
179,86.163,-1
180,86.163,-1
181,86.163,-1
182,86.163,-1
183,86.163,-1
184,86.163,-1
185,86.163,-1
186,86.163,-1
187,86.163,-1
188,86.163,-1
189,86.163,-1
190,86.163,-1
191,86.163,-1
192,86.163,-1
193,86.163,-1
194,86.163,-1
195,86.163,-1
196,86.163,-1
197,86.163,-1
198,86.163,-1
199,86.163,-1
200,86.163,-1
201,86.163,-1
202,86.163,-1
203,86.163,-1
204,86.163,-1
205,86.163,-1
206,86.163,-1
207,86.163,-1
208,86.163,-1
209,86.163,-1
210,86.163,-1
211,86.163,-1
212,86.163,-1
213,86.163,-1
214,86.163,-1
215,86.163,-1
216,86.163,-1
217,86.163,-1
218,86.163,-1
219,86.163,-1
220,86.163,-1
221,86.163,-1
222,86.163,-1
223,86.163,-1
224,86.163,-1
225,86.163,-1
226,86.163,-1
227,86.163,-1
228,86.163,-1
229,86.163,-1
230,86.163,-1
231,86.163,-1
232,86.163,-1
233,86.163,-1
234,86.163,-1
235,86.163,-1
236,86.163,-1
237,86.163,-1
238,86.163,-1
239,86.163,-1
240,86.163,-1
241,101.626,-1
242,101.626,-1
243,101.626,-1
244,101.626,-1
245,101.626,-1
246,101.626,-1
247,101.626,-1
248,101.626,-1
249,101.626,-1
250,101.626,-1
251,101.626,-1
252,101.626,-1
253,101.626,-1
254,101.626,-1
255,101.626,-1
256,101.626,-1
257,101.626,-1
258,101.626,-1
259,101.626,-1
260,101.626,-1
261,101.626,-1
262,101.626,-1
263,101.626,-1
264,101.626,-1
265,101.626,-1
266,101.626,-1
267,101.626,-1
268,101.626,-1
269,101.626,-1
270,101.626,-1
271,101.626,-1
272,101.626,-1
273,101.626,-1
274,101.626,-1
275,101.626,-1
276,101.626,-1
277,101.626,-1
278,101.626,-1
279,101.626,-1
280,101.626,-1
281,101.626,-1
282,101.626,-1
283,101.626,-1
284,101.626,-1
285,101.626,-1
