sample_index,power_w,iteration_id
0,61.082,-1
1,61.082,-1
2,61.082,-1
3,61.082,-1
4,61.082,-1
5,61.082,-1
6,61.082,-1
7,61.082,-1
8,61.082,-1
9,61.082,-1
10,61.082,-1
11,61.082,-1
12,61.082,-1
13,61.082,-1
14,61.082,-1
15,61.082,-1
16,61.082,-1
17,61.082,-1
18,61.082,-1
19,61.082,-1
20,61.082,-1
21,61.082,-1
22,61.082,-1
23,61.082,-1
24,54.2,-1
25,54.2,-1
26,54.2,-1
27,54.2,-1
28,54.2,-1
29,54.2,-1
30,54.2,-1
31,54.2,-1
32,54.2,-1
33,54.2,-1
34,54.2,-1
35,54.2,-1
36,54.2,-1
37,54.2,-1
38,54.2,-1
39,54.2,-1
40,54.2,-1
41,54.2,-1
42,54.2,-1
43,54.2,-1
44,54.2,-1
45,54.2,-1
46,54.2,-1
47,54.2,-1
48,54.2,-1
49,54.2,-1
50,54.2,-1
51,54.2,-1
52,54.2,-1
53,54.2,-1
54,54.2,-1
55,54.2,-1
56,54.2,-1
57,54.2,-1
58,54.2,-1
59,54.2,-1
60,54.2,-1
61,54.2,-1
62,54.2,-1
63,54.2,-1
64,54.2,-1
65,54.2,-1
66,54.2,-1
67,54.2,-1
68,54.2,-1
69,54.2,-1
70,54.2,-1
71,54.2,-1
72,54.2,-1
73,54.2,-1
74,54.2,-1
75,54.2,-1
76,54.2,-1
77,54.2,-1
78,54.2,-1
79,54.2,-1
80,54.2,-1
81,54.2,-1
82,54.2,-1
83,54.2,-1
84,54.2,-1
85,54.2,-1
86,54.2,-1
87,54.2,-1
88,54.2,-1
89,54.2,-1
90,54.2,-1
91,54.2,-1
92,54.2,-1
93,54.2,-1
94,54.2,-1
95,54.2,-1
96,54.2,-1
97,54.2,-1
98,54.2,-1
99,54.2,-1
100,54.2,-1
101,54.2,-1
102,54.2,-1
103,54.2,-1
104,54.2,-1
105,54.2,-1
106,54.2,-1
107,54.2,-1
108,54.2,-1
109,54.2,-1
110,54.2,-1
111,54.2,-1
112,54.2,-1
113,54.2,-1
114,54.2,-1
115,54.2,-1
116,54.2,-1
117,54.2,-1
118,54.2,-1
119,54.2,-1
120,54.2,0
121,54.2,0
122,63.585,0
123,63.585,0
124,63.585,0
125,63.585,0
126,63.585,0
127,63.585,0
128,63.585,0
129,63.585,0
130,63.585,0
131,63.585,0
132,63.585,0
133,63.585,0
134,63.585,0
135,63.585,0
136,63.585,0
137,63.585,0
138,63.585,0
139,63.585,0
140,63.585,0
141,63.585,0
142,63.585,0
143,63.585,0
144,63.585,0
145,63.585,0
146,63.585,0
147,63.585,0
148,63.585,0
149,63.585,0
150,63.585,0
151,63.585,0
152,63.585,0
153,63.585,0
154,63.585,0
155,63.585,0
156,63.585,0
157,63.585,0
158,63.585,0
159,63.585,0
160,63.585,0
161,63.585,0
162,63.585,0
163,63.585,0
164,63.585,0
165,63.585,0
166,63.585,0
167,63.585,0
168,63.585,0
169,63.585,0
170,63.585,0
171,63.585,0
172,63.585,0
173,63.585,0
174,63.585,0
175,63.585,0
176,63.585,0
177,63.585,0
178,63.585,0
179,63.585,0
180,63.585,0
181,63.585,0
182,63.585,0
183,63.585,0
184,63.585,0
185,63.585,0
186,63.585,0
187,63.585,0
188,63.585,0
189,63.585,0
190,63.585,0
191,63.585,0
192,63.585,0
193,63.585,0
194,63.585,0
195,63.585,0
196,63.585,0
197,63.585,0
198,63.585,0
199,63.585,0
200,63.585,0
201,63.585,0
202,63.585,0
203,63.585,0
204,63.585,0
205,63.585,0
206,63.585,0
207,63.585,0
208,63.585,0
209,63.585,0
210,63.585,0
211,63.585,0
212,63.585,0
213,63.585,0
214,63.585,0
215,63.585,0
216,63.585,0
217,63.585,0
218,63.585,0
219,72.81,0
220,72.81,0
221,72.81,0
222,72.81,0
223,72.81,0
224,72.81,0
225,72.81,0
226,72.81,0
227,72.81,0
228,72.81,0
229,72.81,0
230,72.81,0
231,72.81,0
232,72.81,0
233,72.81,0
234,72.81,0
235,72.81,0
236,72.81,0
237,72.81,0
238,72.81,0
239,72.81,0
240,72.81,0
241,72.81,0
242,72.81,1
243,72.81,1
244,72.81,1
245,72.81,1
246,72.81,1
247,72.81,1
248,72.81,1
249,72.81,1
250,72.81,1
251,72.81,1
252,72.81,1
253,72.81,1
254,72.81,1
255,72.81,1
256,72.81,1
257,72.81,1
258,72.81,1
259,72.81,1
260,72.81,1
261,72.81,1
262,72.81,1
263,72.81,1
264,72.81,1
265,72.81,1
266,72.81,1
267,72.81,1
268,72.81,1
269,72.81,1
270,72.81,1
271,72.81,1
272,72.81,1
273,72.81,1
274,72.81,1
275,72.81,1
276,72.81,1
277,72.81,1
278,72.81,1
279,72.81,1
280,72.81,1
281,72.81,1
282,72.81,1
283,72.81,1
284,72.81,1
285,72.81,1
286,72.81,1
287,72.81,1
288,72.81,1
289,72.81,1
290,72.81,1
291,72.81,1
292,72.81,1
293,72.81,1
294,72.81,1
295,72.81,1
296,72.81,1
297,72.81,1
298,72.81,1
299,72.81,1
300,72.81,1
301,72.81,1
302,72.81,1
303,72.81,1
304,72.81,1
305,72.81,1
306,72.81,1
307,72.81,1
308,72.81,1
309,72.81,1
310,72.81,1
311,72.81,1
312,72.81,1
313,72.81,1
314,72.81,1
315,72.81,1
316,72.81,1
317,73.51,1
318,73.51,1
319,73.51,1
320,73.51,1
321,73.51,1
322,73.51,1
323,73.51,1
324,73.51,1
325,73.51,1
326,73.51,1
327,73.51,1
328,73.51,1
329,73.51,1
330,73.51,1
331,73.51,1
332,73.51,1
333,73.51,1
334,73.51,1
335,73.51,1
336,73.51,1
337,73.51,1
338,73.51,1
339,73.51,1
340,73.51,1
341,73.51,1
342,73.51,1
343,73.51,1
344,73.51,1
345,73.51,1
346,73.51,1
347,73.51,1
348,73.51,1
349,73.51,1
350,73.51,1
351,73.51,1
352,73.51,1
353,73.51,1
354,73.51,1
355,73.51,1
356,73.51,1
357,73.51,1
358,73.51,1
359,73.51,1
360,73.51,1
361,73.51,1
362,73.51,1
363,73.51,1
364,73.51,2
365,73.51,2
366,73.51,2
367,73.51,2
368,73.51,2
369,73.51,2
370,73.51,2
371,73.51,2
372,73.51,2
373,73.51,2
374,73.51,2
375,73.51,2
376,73.51,2
377,73.51,2
378,73.51,2
379,73.51,2
380,73.51,2
381,73.51,2
382,73.51,2
383,73.51,2
384,73.51,2
385,73.51,2
386,73.51,2
387,73.51,2
388,73.51,2
389,73.51,2
390,73.51,2
391,73.51,2
392,73.51,2
393,73.51,2
394,73.51,2
395,73.51,2
396,73.51,2
397,73.51,2
398,73.51,2
399,73.51,2
400,73.51,2
401,73.51,2
402,73.51,2
403,73.51,2
404,73.51,2
405,73.51,2
406,73.51,2
407,73.51,2
408,73.51,2
409,73.51,2
410,73.51,2
411,73.51,2
412,73.51,2
413,73.51,2
414,73.615,2
415,73.615,2
416,73.615,2
417,73.615,2
418,73.615,2
419,73.615,2
420,73.615,2
421,73.615,2
422,73.615,2
423,73.615,2
424,73.615,2
425,73.615,2
426,73.615,2
427,73.615,2
428,73.615,2
429,73.615,2
430,73.615,2
431,73.615,2
432,73.615,2
433,73.615,2
434,73.615,2
435,73.615,2
436,73.615,2
437,73.615,2
438,73.615,2
439,73.615,2
440,73.615,2
441,73.615,2
442,73.615,2
443,73.615,2
444,73.615,2
445,73.615,2
446,73.615,2
447,73.615,2
448,73.615,2
449,73.615,2
450,73.615,2
451,73.615,2
452,73.615,2
453,73.615,2
454,73.615,2
455,73.615,2
456,73.615,2
457,73.615,2
458,73.615,2
459,73.615,2
460,73.615,2
461,73.615,2
462,73.615,2
463,73.615,2
464,73.615,2
465,73.615,2
466,73.615,2
467,73.615,2
468,73.615,2
469,73.615,2
470,73.615,2
471,73.615,2
472,73.615,2
473,73.615,2
474,73.615,2
475,73.615,2
476,73.615,2
477,73.615,2
478,73.615,2
479,73.615,2
480,73.615,2
481,73.615,2
482,73.615,2
483,73.615,2
484,73.615,2
485,73.615,2
