104.428,2199,2320,1
118.88,2084,10620,1
108.798,2287,721,1
110.572,2053,651,1
152.046,1899,6018,1
156.227,2316,460,1
108.827,2369,1199,1
111.201,1991,1508,1
109.817,2325,728,1
164.668,1955,10962,1
108.948,2228,1144,1
145.175,2249,7788,1
72.605,793,3366,1
157.217,2993,596,1
153.431,2262,11200,1
107.061,2311,1155,1
105.574,2321,1582,1
117.059,2294,4257,1
106.281,2510,1254,1
166.287,2166,7590,1
93.204,2588,2025,1
61.961,30022,4980,0
151.738,2143,882,1
104.641,1842,581,1
101.609,2179,2277,1
101.587,1931,2037,1
116.819,2098,3852,1
143.581,1914,6950,1
152.076,2331,464,1
61.299,1842,101,1
59.036,1907,570,1
87.511,2159,2266,1
59.051,1929,425,1
59.026,1821,332,1
57.231,708,891,1
57.172,918,516,1
57.35,706,175,1
59.215,1961,1288,1
59.022,2027,534,1
57.256,700,1404,1
84.959,1990,1960,1
59.055,2061,1152,1
73.653,2195,232,1
88.121,2214,832,1
73.857,1936,204,1
59.047,1980,218,1
57.825,706,198,1
80.313,2260,963,1
68.339,2422,333,1
103.036,2206,2553,1
59.057,1945,111,1
81.609,1999,9000,1
66.085,753,122148,1
59.095,1772,1513,1
59.059,2081,196,1
58.539,736,416,1
58.667,530,33402,1
87.854,2145,1802,1
67.68,1852,1786,1
96.969,2095,1836,1
74.598,2107,222,1
59.035,1874,285,1
94.819,2204,900,1
74.24,2138,4576,1
66.052,2381,8526,1
59.309,1993,1330,1
59.26,1896,164,1
59.231,2167,3500,1
59.232,2219,672,1
82.85,2125,6532,1
66.899,2026,4366,1
59.278,1980,1089,1
59.223,1794,924,1
55.758,691,1444,1
72.586,2121,216,1
100.303,1850,1764,1
59.205,1953,105,1
57.289,944,141678,1
58.91,1995,288,1
55.59,858,480,1
55.237,720,408,1
54.969,730,192,1
63.031,2472,3456,1
61.751,2123,4469,1
59.3,2183,3348,1
54.78,716,396,1
88.675,1973,1520,1
59.138,2076,1164,1
69.39,2959,312,1
78.263,1790,2016,1
78.432,2110,10325,1
55.613,834,468,1
58.573,2168,1212,1
59.014,2204,1236,1
57.552,2141,190,1
72.85,1953,2254,1
58.776,1885,420,1
56.993,2129,285,1
73.864,2112,525,1
57.185,1938,172,1
58.21,2639,1488,1
59.355,1917,2400,1
57.655,1959,1068,1
50.701,740,68,1
56.214,3082,1072,1
67.885,2236,927,1
59.285,2069,1344,1
57.74,2190,576,1
50.828,746,1763,1
59.294,2177,3968,1
59.308,2008,1316,1
67.182,2008,10200,1
58.551,1941,1092,1
63.31,2250,238,1
63.778,2655,280,1
73.937,2106,3364,1
59.575,2291,1236,1
86.746,1974,1940,1
59.216,2162,354,1
59.528,2239,1881,1
73.553,2052,186,1
74.192,2154,1260,1
58.679,2203,232,1
59.657,2020,1656,1
58.142,2070,1164,1
77.856,2133,1872,1
59.408,2219,2938,1
59.385,2042,2704,1
59.437,2044,2600,1
58.959,2319,1122,1
60.114,2611,3225,1
59.536,2225,2121,1
55.416,3614,652,1
50.535,722,408,1
59.368,1841,913,1
57.443,2153,1746,1
55.954,1874,190,1
57.205,2140,244,1
53.811,908,241200,1
75.924,1983,2140,1
62.632,2535,5811,1
59.8,1924,2392,1
65.013,2149,4114,1
59.423,2106,651,1
54.417,1962,696,1
78.536,1966,1740,1
54.675,2119,531,1
59.766,2073,4387,1
56.557,1995,1116,1
55.368,2524,630,1
58.857,2182,270,1
60.308,2007,2891,1
59.046,2023,1836,1
86.407,2288,236,1
54.2,613,67450,1
59.119,1930,3876,1
59.103,2088,1635,1
59.089,1889,946,1
59.383,1872,1936,1
54.635,717,495,1
58.972,2208,182,1
59.095,2113,1133,1
77.778,2207,2014,1
82.712,3170,3612,1
59.208,30002,10544,0
81.603,2906,3129,1
58.972,2068,1068,1
59.233,2025,333,1
59.115,2092,1843,1
59.066,2156,71,1
56.341,716,264,1
68.183,2623,1331,1
72.989,2106,220,1
59.114,1858,486,1
59.01,1969,326,1
57.049,715,560,1
82.96,2075,4644,1
59.118,2019,1128,1
59.403,1794,1218,1
56.971,708,396,1
68.867,3247,7410,1
61.191,823,123234,1
82.395,2224,3520,1
59.067,1870,252,1
64.78,2032,2024,1
57.449,865,215,1
62.84,2123,2700,1
59.316,694,110208,1
57.326,720,99,1
59.063,2070,658,1
71.707,1897,6490,1
83.93,2198,10738,1
90.937,2453,1000,1
59.096,2023,2968,1
85.772,2170,900,1
60.652,1875,2500,1
58.045,734,416,1
65.005,2232,2736,1
84.684,2147,1020,1
59.07,30013,13440,0
59.076,1852,1044,1
74.009,1934,196,1
75.827,2550,4292,1
80.726,2195,2420,1
74.503,1910,198,1
71.904,1956,1320,1
86.391,2519,2480,1
61.904,721,850,1
72.589,2117,3844,1
59.059,1924,1632,1
59.025,2141,360,1
59.039,1773,76,1
57.756,724,374,1
73.933,1816,215358,1
58.402,673,912,1
59.03,1633,84,1
60.267,2115,1836,1
58.286,706,363,1
71.876,1947,828,1
59.021,1791,395,1
58.891,523,55545,1
65.861,3400,5130,1
59.03,2039,388,1
59.679,2074,2156,1
65.612,1960,2500,1
65.944,2186,945,1
76.942,1981,2205,1
59.035,30006,8058,0
59.046,1954,1092,1
73.797,2207,4681,1
59.038,1819,93,1
58.928,996,1176,1
58.62,695,144,1
72.812,2398,4392,1
59.024,1838,178,1
58.816,716,363,1
58.834,729,124,1
86.606,2262,970,1
102.753,2101,261,1
59.358,30003,16247,0
57.146,706,396,1
58.02,836,198315,1
59.316,2067,161,1
56.292,730,170,1
59.142,2110,508,1
55.821,671,1353,1
75.98,2183,7560,1
59.286,2011,1128,1
58.87,2145,327,1
60.623,1858,2325,1
60.761,1934,1395,1
54.692,830,245,1
59.336,1818,2425,1
54.817,681,74,1
59.99,2040,1635,1
60.073,1915,2392,1
59.343,2137,1236,1
81.056,2380,4440,1
60.871,1995,4332,1
80.315,2036,212,1
58.212,1966,623,1
59.068,2158,480,1
59.157,2133,1944,1
57.417,2368,342,1
51.514,711,136,1
59.135,2183,216,1
57.671,1784,206,1
59.455,1855,2375,1
56.526,2296,226,1
99.7,2264,1378,1
58.77,1947,1092,1
52.19,657,1806,1
59.155,2065,1800,1
50.743,755,105,1
59.302,2095,3675,1
58.112,2290,3036,1
59.13,1941,204,1
72.891,2328,1635,1
65.29,3752,390,1
55.403,2124,107,1
59.017,1826,3150,1
56.076,2199,196,1
58.84,2158,2025,1
73.077,1965,1424,1
57.349,2688,1441,1
58.611,2271,1284,1
77.881,1949,2438,1
58.524,2110,440,1
59.356,2252,721,1
50.135,700,703,1
89.439,1644,281052,1
59.784,30008,37622,0
58.968,2131,847,1
51.425,707,396,1
50.973,708,396,1
59.894,2069,3844,1
56.286,629,2744,1
57.082,4036,1568,1
57.025,2202,339,1
51.396,667,200,1
64.831,5087,5654,1
55.364,2141,776,1
59.623,2085,4392,1
59.967,1884,4070,1
59.457,1930,3840,1
59.839,2042,2592,1
55.929,2432,595,1
58.535,2060,828,1
55.32,1779,96,1
60.201,2222,1498,1
57.288,2206,1540,1
51.875,719,160,1
58.248,2215,3458,1
58.155,2230,465,1
56.813,2203,555,1
58.191,2053,637,1
50.924,722,297,1
55.349,2655,222,1
60.206,2367,1596,1
57.911,2101,1188,1
51.539,691,144,1
55.022,2257,184,1
59.877,2547,4970,1
54.428,2740,185,1
