sample_index,power_w,iteration_id
0,56.717,-1
1,56.717,-1
2,56.717,-1
3,56.717,-1
4,56.717,-1
5,56.717,-1
6,56.717,-1
7,56.717,-1
8,56.717,-1
9,56.717,-1
10,56.717,-1
11,56.717,-1
12,56.717,-1
13,56.717,-1
14,56.717,-1
15,56.717,-1
16,56.717,-1
17,56.717,-1
18,56.717,-1
19,56.717,-1
20,56.717,-1
21,56.717,-1
22,56.717,-1
23,56.717,-1
24,56.717,-1
25,56.717,-1
26,56.717,-1
27,56.717,-1
28,56.717,-1
29,56.717,-1
30,56.717,-1
31,56.717,-1
32,56.717,-1
33,56.717,-1
34,56.717,-1
35,56.717,-1
36,56.717,-1
37,56.717,-1
38,56.717,-1
39,56.717,-1
40,56.717,-1
41,56.717,-1
42,56.717,-1
43,56.717,-1
44,56.717,-1
45,56.717,-1
46,56.717,-1
47,56.717,-1
48,56.717,-1
49,56.717,-1
50,56.717,-1
51,56.717,-1
52,56.717,-1
53,56.88,-1
54,56.88,-1
55,56.88,-1
56,56.88,-1
57,56.88,-1
58,56.88,-1
59,56.88,-1
60,56.88,-1
61,56.88,-1
62,56.88,-1
63,56.88,-1
64,56.88,-1
65,56.88,-1
66,56.88,-1
67,56.88,-1
68,56.88,-1
69,56.88,-1
70,56.88,-1
71,56.88,-1
72,56.88,-1
73,56.88,-1
74,56.88,-1
75,56.88,-1
76,56.88,-1
77,56.88,-1
78,56.88,-1
79,56.88,-1
80,56.88,-1
81,56.88,-1
82,56.88,-1
83,56.88,-1
84,56.88,-1
85,56.88,-1
86,56.88,-1
87,56.88,-1
88,56.88,-1
89,56.88,-1
90,56.88,-1
91,56.88,-1
92,56.88,-1
93,56.88,-1
94,56.88,-1
95,56.88,-1
96,56.88,-1
97,56.88,-1
98,56.88,-1
99,56.88,-1
100,56.88,-1
101,56.88,-1
102,56.88,-1
103,56.88,-1
104,56.88,-1
105,56.88,-1
106,56.88,-1
107,56.88,-1
108,56.88,-1
109,56.88,-1
110,56.88,-1
111,56.88,-1
112,56.88,-1
113,56.88,-1
114,56.88,-1
115,56.88,-1
116,56.88,-1
117,56.88,-1
118,56.88,-1
119,56.88,-1
120,56.88,-1
121,56.88,-1
122,56.88,-1
123,56.88,-1
124,56.88,-1
125,56.88,-1
126,56.88,-1
127,56.88,-1
128,56.88,-1
129,56.88,-1
130,56.88,-1
131,56.88,-1
132,56.88,-1
133,56.88,-1
134,56.88,-1
135,56.88,-1
136,56.88,-1
137,56.88,-1
138,56.88,-1
139,56.88,-1
140,56.88,-1
141,56.88,-1
142,56.88,-1
143,56.88,-1
144,56.88,-1
145,56.88,-1
146,56.88,-1
147,56.88,-1
148,56.88,-1
149,56.88,-1
150,58.126,-1
151,58.126,-1
152,58.126,-1
153,58.126,-1
154,58.126,-1
155,58.126,-1
156,58.126,-1
157,58.126,-1
158,58.126,-1
159,58.126,-1
160,58.126,-1
161,58.126,-1
162,58.126,-1
163,58.126,-1
164,58.126,-1
165,58.126,-1
166,58.126,-1
167,58.126,-1
168,58.126,-1
169,58.126,-1
170,58.126,-1
171,58.126,-1
172,58.126,-1
173,58.126,-1
174,58.126,-1
175,58.126,-1
176,58.126,-1
177,58.126,-1
178,58.126,-1
179,58.126,-1
180,58.126,-1
181,58.126,-1
182,58.126,-1
183,58.126,-1
184,58.126,-1
185,58.126,-1
186,58.126,-1
187,58.126,-1
188,58.126,-1
189,58.126,-1
190,58.126,-1
191,58.126,-1
192,58.126,-1
193,58.126,-1
194,58.126,-1
195,58.126,-1
196,58.126,-1
197,58.126,-1
198,58.126,-1
199,58.126,-1
200,58.126,-1
201,58.126,-1
